CustID,day,month,duration,campaign,pdays,previous,poutcome,y
1001,5,may,261,1,-1,0,unknown,no
1002,5,may,151,1,-1,0,unknown,no
1003,5,may,76,1,-1,0,unknown,no
1004,5,may,92,1,-1,0,unknown,no
1005,5,may,198,1,-1,0,unknown,no
1006,5,may,139,1,-1,0,unknown,no
1007,5,may,217,1,-1,0,unknown,no
1008,5,may,380,1,-1,0,unknown,no
1009,5,may,50,1,-1,0,unknown,no
1010,5,may,55,1,-1,0,unknown,no
1011,5,may,222,1,-1,0,unknown,no
1012,5,may,137,1,-1,0,unknown,no
1013,5,may,517,1,-1,0,unknown,no
1014,5,may,71,1,-1,0,unknown,no
1015,5,may,174,1,-1,0,unknown,no
1016,5,may,353,1,-1,0,unknown,no
1017,5,may,98,1,-1,0,unknown,no
1018,5,may,38,1,-1,0,unknown,no
1019,5,may,219,1,-1,0,unknown,no
1020,5,may,54,1,-1,0,unknown,no
1021,5,may,262,1,-1,0,unknown,no
1022,5,may,164,1,-1,0,unknown,no
1023,5,may,160,1,-1,0,unknown,no
1024,5,may,342,1,-1,0,unknown,no
1025,5,may,181,1,-1,0,unknown,no
1026,5,may,172,1,-1,0,unknown,no
1027,5,may,296,1,-1,0,unknown,no
1028,5,may,127,1,-1,0,unknown,no
1029,5,may,255,2,-1,0,unknown,no
1030,5,may,348,1,-1,0,unknown,no
1031,5,may,225,1,-1,0,unknown,no
1032,5,may,230,1,-1,0,unknown,no
1033,5,may,208,1,-1,0,unknown,no
1034,5,may,226,1,-1,0,unknown,no
1035,5,may,336,1,-1,0,unknown,no
1036,5,may,242,1,-1,0,unknown,no
1037,5,may,365,1,-1,0,unknown,no
1038,5,may,1666,1,-1,0,unknown,no
1039,5,may,577,1,-1,0,unknown,no
1040,5,may,137,1,-1,0,unknown,no
1041,5,may,160,1,-1,0,unknown,no
1042,5,may,180,2,-1,0,unknown,no
1043,5,may,22,1,-1,0,unknown,no
1044,5,may,1492,1,-1,0,unknown,no
1045,5,may,616,1,-1,0,unknown,no
1046,5,may,242,1,-1,0,unknown,no
1047,5,may,355,1,-1,0,unknown,no
1048,5,may,225,2,-1,0,unknown,no
1049,5,may,160,1,-1,0,unknown,no
1050,5,may,363,1,-1,0,unknown,no
1051,5,may,266,1,-1,0,unknown,no
1052,5,may,253,1,-1,0,unknown,no
1053,5,may,179,1,-1,0,unknown,no
1054,5,may,787,1,-1,0,unknown,no
1055,5,may,145,1,-1,0,unknown,no
1056,5,may,174,1,-1,0,unknown,no
1057,5,may,104,1,-1,0,unknown,no
1058,5,may,13,1,-1,0,unknown,no
1059,5,may,185,1,-1,0,unknown,no
1060,5,may,1778,1,-1,0,unknown,no
1061,5,may,138,1,-1,0,unknown,no
1062,5,may,812,1,-1,0,unknown,no
1063,5,may,164,1,-1,0,unknown,no
1064,5,may,391,1,-1,0,unknown,no
